STATE,LOAN_TYPE,LOAN_COUNT,DEFAULT_RATE_PCT,TOTAL_EXPOSURE_MILLIONS,AVG_CREDIT_SCORE,AVG_DTI,AVG_RISK_SCORE,TOTAL_DEFAULTS,DEFAULTED_EXPOSURE_MILLIONS
WY,Auto,176,10.80,5.86,698,24.2,37.9,19,0.72
OH,Auto,4290,10.77,140.61,693,23,38.2,462,15.35
MO,Auto,2072,10.76,67.49,695,23.4,38.3,223,7.36
DC,Mortgage,279,10.75,63.08,690,24.4,38.3,30,6.43
NC,Auto,3154,10.72,104.98,693,23.3,38.5,338,11.91
TX,Mortgage,12155,10.71,2729.44,693,25.1,38.3,1302,303.53
CA,Auto,12681,10.69,418.3,692,23.1,38.4,1355,46.19
KY,Auto,1010,10.69,32.64,690,23,38.8,108,3.39
MN,Auto,2086,10.69,69.03,691,22.9,37.9,223,7.8
AZ,Auto,3146,10.58,102.7,694,23.3,38.1,333,10.95
NY,Auto,7262,10.48,235.82,695,23,37.9,761,25.24
MT,Auto,306,10.46,10.15,691,23.3,38.2,32,1.28
NE,Mortgage,680,10.44,155.47,693,25.1,37.8,71,17.8
TX,Auto,9267,10.43,305.98,692,23.2,38.5,967,32.37
WA,Auto,3240,10.43,107.28,692,23.2,38.5,338,11.37
VA,Mortgage,3948,10.39,897.23,693,25,38.1,410,96.41
MA,Auto,2131,10.37,70.62,695,23.1,38,221,7.45
GA,Auto,4178,10.34,136.56,693,23.1,38.3,432,14.4
TN,Auto,2115,10.31,70.2,693,23.3,38.5,218,7.75
MS,Auto,1054,10.25,35.2,692,23.1,38.5,108,3.7
PA,Auto,5282,10.20,172.97,691,23.1,38.4,539,17.94
ND,Auto,226,10.18,7.41,698,23.5,37.8,23,0.82
MA,Mortgage,2684,10.17,601.26,691,25.1,38.6,273,65.51
KY,Mortgage,1385,10.11,313.09,694,25.2,38.2,140,33.83
AR,Mortgage,1367,9.95,308.32,694,25.2,38.4,136,33.71
IL,Auto,4210,9.83,136.07,694,23.1,38.2,414,13.4
AR,Auto,1051,9.71,34.52,692,23.7,38.6,102,3.4
CT,Auto,1125,9.60,37.22,689,22.8,38.4,108,3.44
WV,Auto,523,9.56,17.75,694,23,37.7,50,1.65
NM,Mortgage,671,9.54,150.93,694,25.8,39.1,64,15.14
LA,Auto,1070,9.53,36.54,690,23.3,38.7,102,3.42
VT,Mortgage,264,9.47,59.33,698,25,37.7,25,6.26
UT,Mortgage,1350,9.26,292.91,691,24.9,38.5,125,29.85
MS,Mortgage,1341,9.25,301.6,699,24.9,37.6,124,29.58
MD,Auto,2109,9.15,68.76,694,23.2,38.1,193,6.52
ND,Mortgage,255,9.02,57.56,694,24.2,37.4,23,4.93
WY,Mortgage,272,8.82,62.05,691,24.8,38.1,24,5.74
DE,Mortgage,375,8.53,82.83,688,25,38.9,32,7.91
VT,Auto,210,7.62,6.95,683,23.5,39.3,16,0.48
DE,Auto,291,7.56,9.39,699,23,37.7,22,0.82
AK,Auto,201,7.46,6.64,697,22.6,37.6,15,0.42
